nama,alamat,kecamatan,google_rating,price_range_rupiah,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman,rating_category,kategori_resto,jumlah_ulasan,kategori_resto_encoded,price_range_encoded,dataset_version,training_date
WARTEG KHARISMA BAHARI,"JL. CIKUTRA BARAT NO.09, SUKALUYU, KEC. CIBEUNYING
  KALER, KOTA BANDUNG, JAWA BARAT 40123",cibeunying kaler,3.8,Rp 15.000 - 50.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Medium (3.5-4.0),Restaurant,2103,8,2.0,enriched_v1.0,2025-07-09
WARTEG MARGA JAYA,"JL. TAMANSARI NO.15, TAMANSARI, KEC. BANDUNG WETAN,
  KOTA BANDUNG, JAWA BARAT 40116",bandung wetan,4.8,Rp 50.000 - 100.000,28848.0,3.44,8386.05,4.0,14.0,117.0,Very High (4.5-5.0),Restaurant,5,8,2.0,enriched_v1.0,2025-07-09
WARTEG MARGADANA,"JL. PHH. MUSTOFA NO.36, CIKUTRA, KEC. CIBEUNYING
  KIDUL, KOTA BANDUNG, JAWA BARAT 40124",cibeunying kidul,4.4,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,High (4.0-4.5),Restaurant,115,8,2.0,enriched_v1.0,2025-07-09
WARTEG MAS CIPTO,"PASIRLAYUNG, CIBEUNYING KIDUL, BANDUNG CITY, WEST
  JAVA",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,92,8,2.0,enriched_v1.0,2025-07-09
WARTEG MBA ANAH,"JL. PADASUKA NO.106, PASIRLAYUNG, KEC. CIBEUNYING
  KIDUL, KOTA BANDUNG, JAWA BARAT 40192",cibeunying kidul,4.6,Rp 15.000 - 50.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,515,8,2.0,enriched_v1.0,2025-07-09
WARTEG MEKAR JAYA,"JL. CIKUTRA NO.201, NEGLASARI, KEC. CIBEUNYING
  KALER, KOTA BANDUNG, JAWA BARAT 40124",cibeunying kaler,3.4,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Low (≤3.5),Restaurant,130,8,2.0,enriched_v1.0,2025-07-09
WARTEG MELATI ARUM,"JL. PHH. MUSTOFA NO.84, SUKAPADA, KEC. CIBEUNYING
  KIDUL, KOTA BANDUNG, JAWA BARAT 40121",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,24,8,2.0,enriched_v1.0,2025-07-09
WARTEG ORIGINAL,"JL. GUDANG UTARA NO.29, MERDEKA, KEC. SUMUR
  BANDUNG, KOTA BANDUNG, JAWA BARAT 40113",sumur bandung,4.3,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,525,8,2.0,enriched_v1.0,2025-07-09
WARTEG PAK TIKNO,"3MX5+58R, JL. A. YANI, JATIHANDAP, KEC.
  MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40282",mandalajati,4.0,Rp 15.000 - 50.000,73956.0,4.8,15407.5,3.04841784216546,16.0,21.0,Medium (3.5-4.0),Restaurant,270,8,2.0,enriched_v1.0,2025-07-09
WARTEG PERMATA,"KEBONWARU, BATUNUNGGAL, BANDUNG CITY, WEST JAVA
  40272",batununggal,4.8,Rp 50.000 - 100.000,121469.0,4.82,25201.04,4.0,17.0,19.0,Very High (4.5-5.0),Restaurant,71,8,2.0,enriched_v1.0,2025-07-09
WARTEG PITULAS BAHARI,"JL. JEND. SUDIRMAN NO.188, RT.01, CIBADAK, KEC.
  ASTANAANYAR, KOTA BANDUNG, JAWA BARAT 40241",astanaanyar,4.4,Rp 50.000 - 100.000,73232.0,2.68,27325.37,3.04841784216546,20.0,15.0,High (4.0-4.5),Restaurant,3373,8,2.0,enriched_v1.0,2025-07-09
WARTEG RESTU IBU,"3JRW+HFW, BABAKAN SURABAYA, KIARACONDONG, BANDUNG
  CITY, WEST JAVA 40281",kiaracondong,4.8,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Restaurant,80,8,2.0,enriched_v1.0,2025-07-09
WARTEG RISMA,"JL. BABAKAN SARI NO.189, BABAKAN SARI, KEC.
  KIARACONDONG, KOTA BANDUNG, JAWA BARAT 40283",kiaracondong,5.0,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Restaurant,174,8,2.0,enriched_v1.0,2025-07-09
WARTEG BAROKAH WARUNG NASI TEGAL,"JL. WASTUKENCANA NO.51, BABAKAN CIAMIS, KEC. SUMUR
  BANDUNG, KOTA BANDUNG, JAWA BARAT 40117",sumur bandung,4.3,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Local Food,4311,7,2.0,enriched_v1.0,2025-07-09
WARTEG BOJONG KONENG,"JL. BOJONG KONENG NO.9, SUKAPADA, KEC. CIBEUNYING
  KIDUL, KOTA BANDUNG, JAWA BARAT 40124",cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,140,8,2.0,enriched_v1.0,2025-07-09
WARTEG BRAGA JAYA,"JL. SUNIARAJA NO.25, BRAGA, KEC. SUMUR BANDUNG,
  KOTA BANDUNG, JAWA BARAT 40111",sumur bandung,4.5,Rp 15.000 - 50.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,517,8,2.0,enriched_v1.0,2025-07-09
WARTEG CEMARA 3,"JL. KIARA CONDONG NO.36, KEBONWARU, KEC.
  BATUNUNGGAL, KOTA BANDUNG, JAWA BARAT 40272",batununggal,4.1,Rp 50.000 - 100.000,121469.0,4.82,25201.04,4.0,17.0,19.0,High (4.0-4.5),Restaurant,555,8,2.0,enriched_v1.0,2025-07-09
WARTEG CEMARA 4,"HASAN MUSTAPA, JL. PHH. MUSTOFA NO.7, NEGLASARI,
  CIBEUNYING KALER, BANDUNG CITY, WEST JAVA 40124",cibeunying kaler,5.0,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Very High (4.5-5.0),Restaurant,38,8,2.0,enriched_v1.0,2025-07-09
WARTEG CIATEUL,"JL. IBU INGGIT GARNASIH NO.89, CIATEUL, KEC. REGOL,
  KOTA BANDUNG, JAWA BARAT 40252",regol,4.3,Rp 50.000 - 100.000,80609.0,4.74,17006.12,2.0,40.0,15.0,High (4.0-4.5),Restaurant,100,8,2.0,enriched_v1.0,2025-07-09
WARTEG CIHAMPELAS JAYA,"JL. CIHAMPELAS NO.49-55, TAMANSARI, KEC. BANDUNG
  WETAN, KOTA BANDUNG, JAWA BARAT 40116",bandung wetan,4.6,Rp 15.000 - 50.000,28848.0,3.44,8386.05,4.0,14.0,117.0,Very High (4.5-5.0),Restaurant,181,8,2.0,enriched_v1.0,2025-07-09
WARTEG CINTAASIH,"JL. LASWI NO.247, SAMOJA, KEC. BATUNUNGGAL, KOTA
  BANDUNG, JAWA BARAT 40273",batununggal,4.5,Rp 50.000 - 100.000,121469.0,4.82,25201.04,4.0,17.0,19.0,High (4.0-4.5),Restaurant,268,8,2.0,enriched_v1.0,2025-07-09
WARTEG CITRA BAHARI,"JL. GAJAH NO.5, TURANGGA, KEC. LENGKONG, KOTA
  BANDUNG, JAWA BARAT 40262",lengkong,4.3,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,2981,8,2.0,enriched_v1.0,2025-07-09
WARTEG FAMILY,"JL. A.H. NASUTION NO.93, RW.04, JATIHANDAP, KEC.
  MANDALAJATI, KOTA BANDUNG, JAWA BARAT 40291",mandalajati,4.0,Rp 15.000 - 50.000,73956.0,4.8,15407.5,3.04841784216546,16.0,21.0,Medium (3.5-4.0),Restaurant,229,8,2.0,enriched_v1.0,2025-07-09
WARTEG HASANAH,"HASAN MUSTAPA, JL. PHH. MUSTOFA NO.166, PADASUKA,
  CIBEUNYING KIDUL, BANDUNG CITY, WEST JAVA 40125",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,129,8,2.0,enriched_v1.0,2025-07-09
WARTEG IBU MUJIONO,"HASAN MUSTAPA, JL. PHH. MUSTOFA NO.34, CIKUTRA,
  CIBEUNYING KIDUL, BANDUNG CITY, WEST JAVA 40124",cibeunying kidul,3.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Low (≤3.5),Restaurant,4770,8,2.0,enriched_v1.0,2025-07-09
WARTEG JEMPOL 2,"JL. CIKUTRA NO.100 A, CIKUTRA, KEC. CIBEUNYING
  KIDUL, KOTA BANDUNG, JAWA BARAT 40124",cibeunying kidul,4.7,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,357,8,2.0,enriched_v1.0,2025-07-09
WARTEG BAHARI,"JL. PURWAKARTA NO.75, ANTAPANI KIDUL, KEC.
  ANTAPANI, KOTA BANDUNG, JAWA BARAT 40291",antapani,4.9,Rp 50.000 - 100.000,80530.0,4.22,19082.94,3.04841784216546,21.0,68.0,Very High (4.5-5.0),Restaurant,55,8,2.0,enriched_v1.0,2025-07-09
WARTEG BAHARI (DEPAN UNJANI),"JL. PAPANGGUNGAN NO.10, KB. KANGKUNG, KEC.
  KIARACONDONG, KOTA BANDUNG, JAWA BARAT 40284",kiaracondong,4.6,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Restaurant,597,8,2.0,enriched_v1.0,2025-07-09
WARTEG BAHARI ARCAMANIK,"JL. ARCAMANIK ENDAH NO.87 BLOK C, SUKAMISKIN, KEC.
  ARCAMANIK, KOTA BANDUNG, JAWA BARAT 40293",arcamanik,4.6,Rp 50.000 - 100.000,80387.0,7.59,10591.17,3.04841784216546,13.0,77.0,Very High (4.5-5.0),Restaurant,718,8,2.0,enriched_v1.0,2025-07-09
WARTEG BAHARI BEN WAREG,"JL. PURWAKARTA NO.104, ANTAPANI KIDUL, KEC.
  ANTAPANI, KOTA BANDUNG, JAWA BARAT 40291",antapani,4.5,Rp 50.000 - 100.000,80530.0,4.22,19082.94,3.04841784216546,21.0,68.0,High (4.0-4.5),Restaurant,295,8,2.0,enriched_v1.0,2025-07-09
WARTEG BAHARI CIPTA RASA,"JL. KAWALUYAAN NO.57, JATISARI, KEC. BUAHBATU, KOTA
  BANDUNG, JAWA BARAT 40286",buahbatu,4.1,Rp 50.000 - 100.000,104434.0,7.46,13999.2,2.0,36.0,90.0,High (4.0-4.5),Restaurant,337,8,2.0,enriched_v1.0,2025-07-09
WARTEG BAHARI HPWBR,"JALAN KARAPITAN NO.115 A CIKAWAO LENGKONG,
  BURANGRANG, BANDUNG, KOTA BANDUNG, JAWA BARAT 40261",lengkong,4.1,Rp 15.000 - 50.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,High (4.0-4.5),Restaurant,2770,8,2.0,enriched_v1.0,2025-07-09
WARTEG BAHARI INDAH,"JL. BABAKAN SARI NO.119, BABAKAN SARI, KEC.
  KIARACONDONG, KOTA BANDUNG, JAWA BARAT 40283",kiaracondong,4.2,Rp 15.000 - 50.000,131413.0,5.8,22657.41,1.0,36.0,17.0,High (4.0-4.5),Restaurant,2682,8,2.0,enriched_v1.0,2025-07-09
WARTEG BAHARI LENONG,"3JXX+MX5, SUKAPADA, CIBEUNYING KIDUL, BANDUNG CITY,
  WEST JAVA 40125",cibeunying kidul,4.506363636363636,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,578,8,2.0,enriched_v1.0,2025-07-09
WARTEG BAHARI MAMAKE,"3MF8+H4P, JL. CIBODAS RAYA, ANTAPANI TENGAH, KEC.
  ANTAPANI, KOTA BANDUNG, JAWA BARAT 40291",antapani,3.0,Rp 50.000 - 100.000,80530.0,4.22,19082.94,3.04841784216546,21.0,68.0,Low (≤3.5),Restaurant,2378,8,2.0,enriched_v1.0,2025-07-09
WARTEG BAHARI RESTU IBU GRUP,"JL. ANTAPANI LAMA NO.19, ANTAPANI KULON, KEC.
  ANTAPANI, KOTA BANDUNG, JAWA BARAT 40291",antapani,4.0,Rp 50.000 - 100.000,80530.0,4.22,19082.94,3.04841784216546,21.0,68.0,Medium (3.5-4.0),Restaurant,185,8,2.0,enriched_v1.0,2025-07-09
WARTEG BAHARI TULEN,"JL. NARIPAN NO.39, KB. PISANG, KEC. SUMUR BANDUNG,
  KOTA BANDUNG, JAWA BARAT 40112",sumur bandung,4.6,Rp 15.000 - 50.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,77,8,2.0,enriched_v1.0,2025-07-09
WARTEG BAROKAH,"JL. BABAKAN SARI NO.75, BABAKAN SARI, KEC.
  KIARACONDONG, KOTA BANDUNG, JAWA BARAT 40283",kiaracondong,4.7,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Restaurant,200,8,2.0,enriched_v1.0,2025-07-09
WARTEG,"JL. BRIGADIR JEND. KATAMSO NO.42-59, CIHAUR GEULIS,
  KEC. CIBEUNYING KIDUL, KOTA BANDUNG, JAWA BARAT 40122",cibeunying kidul,3.8,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Medium (3.5-4.0),Restaurant,282,8,2.0,enriched_v1.0,2025-07-09
WARTEG 'TOP CADAS',"JL. A. YANI NO.534, BABAKAN SURABAYA, KEC.
  KIARACONDONG, KOTA BANDUNG, JAWA BARAT 40281",kiaracondong,4.56021505376344,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Restaurant,281,8,2.0,enriched_v1.0,2025-07-09
"WARTEG "" SAMI ASIH ""","JL. SULAKSANA NO.1, CICAHEUM, KEC. KIARACONDONG,
  KOTA BANDUNG, JAWA BARAT 40282",kiaracondong,4.56021505376344,Rp 50.000 - 100.000,131413.0,5.8,22657.41,1.0,36.0,17.0,Very High (4.5-5.0),Restaurant,405,8,2.0,enriched_v1.0,2025-07-09
WARTEG 22,"4J2V+RHH, JL. SEKEJATI V, SUKAPADA, KEC. CIBEUNYING
  KIDUL, KOTA BANDUNG, JAWA BARAT 40125",cibeunying kidul,5.0,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,33,8,2.0,enriched_v1.0,2025-07-09
WARTEG 89,"JL. PHH. MUSTOFA NO.89, SUKAPADA, KEC. CIBEUNYING
  KIDUL, KOTA BANDUNG, JAWA BARAT 40125",cibeunying kidul,4.7,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Restaurant,75,8,2.0,enriched_v1.0,2025-07-09
WARTEG ABADI,"JL. RANGGAGADING NO.10, TAMANSARI, KEC. BANDUNG
  WETAN, KOTA BANDUNG, JAWA BARAT 40116",bandung wetan,4.1,Rp 15.000 - 50.000,28848.0,3.44,8386.05,4.0,14.0,117.0,High (4.0-4.5),Restaurant,739,8,2.0,enriched_v1.0,2025-07-09
WARTEG ABADI MURNI,"4J7G+5H7, JL. CIBEUNYING KOLOT, CIGADUNG, KEC.
  CIBEUNYING KALER, KOTA BANDUNG, JAWA BARAT 40133",cibeunying kaler,4.0,Rp 50.000 - 100.000,70662.0,4.64,15228.88,3.04841784216546,34.0,31.0,Medium (3.5-4.0),Restaurant,532,8,2.0,enriched_v1.0,2025-07-09
WARTEG AERO,"JL. TUBAGUS ISMAIL NO.2 C, LEBAKGEDE, KECAMATAN
  COBLONG, KOTA BANDUNG, JAWA BARAT 40134",coblong,4.4,Rp 15.000 - 50.000,115273.0,7.31,15769.22,3.04841784216546,62.0,37.0,High (4.0-4.5),Restaurant,2839,8,2.0,enriched_v1.0,2025-07-09
WARTEG ANNISA,"JL. CIBATU RAYA NO.80, ANTAPANI TENGAH, KEC.
  ANTAPANI, KOTA BANDUNG, JAWA BARAT 40291",antapani,5.0,Rp 50.000 - 100.000,80530.0,4.22,19082.94,3.04841784216546,21.0,68.0,Very High (4.5-5.0),Restaurant,46,8,2.0,enriched_v1.0,2025-07-09
WARTEG BABAKAN SUKATMA DAN FRIED CHICKEN,"JL. A. YANI JL. BBK SUKATMA NO.915, PASIRLAYUNG,
  KEC. CIBEUNYING KIDUL, KOTA BANDUNG, JAWA BARAT 40282",cibeunying kidul,4.6,Rp 50.000 - 100.000,113535.0,4.14,27423.91,3.04841784216546,17.0,16.0,Very High (4.5-5.0),Fast Food,171,4,2.0,enriched_v1.0,2025-07-09
TSUKAMIE NOODLE BAR,"JL. H. WASID NO.23, LEBAKGEDE, KECAMATAN COBLONG,
  KOTA BANDUNG, JAWA BARAT 40132",coblong,4.9,Rp 50.000 - 100.000,115273.0,7.31,15769.22,3.04841784216546,62.0,37.0,Very High (4.5-5.0),Restaurant,143,8,2.0,enriched_v1.0,2025-07-09
UDIN RAMEN,"JL. NAGROG, RT.1, PASIRJATI, KEC. UJUNG BERUNG,
  KOTA BANDUNG, JAWA BARAT 4029",ujung berung,5.0,Rp 50.000 - 100.000,90562.0,6.24,14513.14,3.04841784216546,24.0,9.0,Very High (4.5-5.0),Japanese Food,6,5,2.0,enriched_v1.0,2025-07-09
WARBIL AYAM PENYET SD SERANG,"JL. SADANG SERANG A NO.18, SEKELOA, KECAMATAN
  COBLONG, KOTA BANDUNG, JAWA BARAT 40133",coblong,5.0,Rp 15.000 - 50.000,115273.0,7.31,15769.22,3.04841784216546,62.0,37.0,Very High (4.5-5.0),Restaurant,199,8,2.0,enriched_v1.0,2025-07-09
WAROENG ATJEH,"JL. AMBON NO.13, CITARUM, KEC. BANDUNG WETAN, KOTA
  BANDUNG, JAWA BARAT 40115",bandung wetan,4.6,Rp 50.000 - 100.000,28848.0,3.44,8386.05,4.0,14.0,117.0,Very High (4.5-5.0),Restaurant,42,8,2.0,enriched_v1.0,2025-07-09
WAROENG JADOEL | BEBEK BETUTU CRISPY,"JL. SUMEDANG NO.4, KACAPIRING, KEC. BATUNUNGGAL,
  KOTA BANDUNG, JAWA BARAT 40271",batununggal,3.0,Rp 50.000 - 100.000,121469.0,4.82,25201.04,4.0,17.0,19.0,Low (≤3.5),Restaurant,648,8,2.0,enriched_v1.0,2025-07-09
WAROENG PENYET,"JL. SUKAJADI NO.100, PASTEUR, KEC. SUKAJADI, KOTA
  BANDUNG, JAWA BARAT 40162",sukajadi,5.0,Rp 50.000 - 100.000,103066.0,5.28,19520.08,3.04841784216546,33.0,29.0,Very High (4.5-5.0),Restaurant,26,8,2.0,enriched_v1.0,2025-07-09
WAROENG RAKJAT BANDUNG,"3JJ9+FQW, JL. BARANANG SIANG, KB. PISANG, KEC.
  SUMUR BANDUNG, KOTA BANDUNG, JAWA BARAT 40112",sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,713,8,2.0,enriched_v1.0,2025-07-09
WAROENG SATE KARDJAN,"JL. PASIR KALIKI NO.32, PASIR KALIKI, KEC. CICENDO,
  KOTA BANDUNG, JAWA BARAT",cicendo,4.5,Rp 50.000 - 100.000,96382.0,7.79,12372.53,2.0,35.0,46.0,High (4.0-4.5),Restaurant,71,8,2.0,enriched_v1.0,2025-07-09
WAROENK SATE GEMPOL,"JALAN PASAR GEMPOL BLOK 5, CITARUM, KEC. BANDUNG
  WETAN, KOTA BANDUNG, JAWA BARAT 40115",bandung wetan,4.5,Rp 50.000 - 100.000,28848.0,3.44,8386.05,4.0,14.0,117.0,High (4.0-4.5),Restaurant,127,8,2.0,enriched_v1.0,2025-07-09
THE KIOSK BRAGA,"JALAN BRAGA, BRAGA CITY WALK, LANTAI.DASAR NO.56,
  BRAGA, KEC. SUMUR BANDUNG, KOTA BANDUNG, JAWA BARAT 40111",sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,80,8,2.0,enriched_v1.0,2025-07-09
THE KIOSK CIHAMPELAS WALK,"JALAN CIHAMPELAS NO 160 CIHAMPELAS WALK LANTAI SL
  21, CIPAGANTI, KECAMATAN COBLONG, KOTA BANDUNG, JAWA BARAT 40131",coblong,4.6,Rp 50.000 - 100.000,115273.0,7.31,15769.22,3.04841784216546,62.0,37.0,Very High (4.5-5.0),Restaurant,220,8,2.0,enriched_v1.0,2025-07-09
THE KIOSK SETIABUDHI,"JL. DR. SETIABUDI NO.46, HEGARMANAH, KEC. CIDADAP,
  KOTA BANDUNG, JAWA BARAT 40141",cidadap,4.3,Rp 50.000 - 100.000,54680.0,8.42,6494.06,3.04841784216546,10.0,8.0,High (4.0-4.5),Restaurant,106,8,2.0,enriched_v1.0,2025-07-09
THE RESTAURANT - HOTEL PADMA,"JL. RANCABENTANG NO.56-58, CIUMBULEUIT, KEC.
  CIDADAP, KOTA BANDUNG, JAWA BARAT 40142",cidadap,4.6,Rp 100.000 - 200.000,54680.0,8.42,6494.06,3.04841784216546,10.0,8.0,Very High (4.5-5.0),Restaurant,480,8,2.0,enriched_v1.0,2025-07-09
THEEHUIS UTC,"JL. IR. H. JUANDA NO.4, CITARUM, KEC. BANDUNG
  WETAN, KOTA BANDUNG, JAWA BARAT 40116",bandung wetan,4.5,Rp 50.000 - 100.000,28848.0,3.44,8386.05,4.0,14.0,117.0,High (4.0-4.5),Restaurant,88,8,2.0,enriched_v1.0,2025-07-09
TIGA WONTON,"PARIS VAN JAVA, CIPEDES, KEC. SUKAJADI, KOTA
  BANDUNG, JAWA BARAT 40162",sukajadi,4.6,Rp 50.000 - 100.000,103066.0,5.28,19520.08,3.04841784216546,33.0,29.0,Very High (4.5-5.0),Restaurant,558,8,2.0,enriched_v1.0,2025-07-09
"TOASTIFY SANDWICH, BANDUNG WETAN","JL. NANAS NO.20, CIHAPIT, KEC. BANDUNG WETAN, KOTA
  BANDUNG, JAWA BARAT 40114",bandung wetan,4.9,Rp 50.000 - 100.000,28848.0,3.44,8386.05,4.0,14.0,117.0,Very High (4.5-5.0),Restaurant,42,8,2.0,enriched_v1.0,2025-07-09
TOBA RESTO,"JL. SOEKARNO HATTA NO.141, BABAKAN CIPARAY, KEC.
  BABAKAN CIPARAY, KOTA BANDUNG, JAWA BARAT 40223",babakan ciparay,4.5,Rp 15.000 - 50.000,143651.0,7.07,20318.39,1.0,17.0,13.0,High (4.0-4.5),Restaurant,73,8,2.0,enriched_v1.0,2025-07-09
TOKO BAKMIE FENG,"PS. CIHAPIT, CIHAPIT, KEC. BANDUNG WETAN, KOTA
  BANDUNG, JAWA BARAT 40114",bandung wetan,4.5,Rp 50.000 - 100.000,28848.0,3.44,8386.05,4.0,14.0,117.0,High (4.0-4.5),Restaurant,105,8,2.0,enriched_v1.0,2025-07-09
TOKO DAPUR BUNDA FACTORY OUTLET,"JL. LODAYA NO.55, MALABAR, KEC. LENGKONG, KOTA
  BANDUNG, JAWA BARAT 40262",lengkong,4.521932114882507,Rp 50.000 - 100.000,71000.0,5.91,12013.54,3.04841784216546,43.0,41.0,Very High (4.5-5.0),Restaurant,274,8,2.0,enriched_v1.0,2025-07-09
TOMODACHI PASTRY & BAKERY,"JL. IR. H. JUANDA NO.72-74, LEBAKGEDE, KECAMATAN
  COBLONG, KOTA BANDUNG, JAWA BARAT 40132",coblong,4.3,Rp 50.000 - 100.000,115273.0,7.31,15769.22,3.04841784216546,62.0,37.0,High (4.0-4.5),Bakery,158,0,2.0,enriched_v1.0,2025-07-09
SUSHI TEI SUMATERA,"JL. SUMATERA NO.9, BRAGA, KEC. SUMUR BANDUNG, KOTA
  BANDUNG, JAWA BARAT 40111",sumur bandung,4.6,Rp 100.000 - 200.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Japanese Food,177,5,2.0,enriched_v1.0,2025-07-09
SUSHI TEI TRANS STUDIO MALL,"TRANS STUDIO MALL, JL. GATOT SUBROTO NO.289,
  CIBANGKONG, KEC. BATUNUNGGAL, KOTA BANDUNG, JAWA BARAT 40273",batununggal,4.5,Rp 100.000 - 200.000,121469.0,4.82,25201.04,4.0,17.0,19.0,High (4.0-4.5),Japanese Food,51,5,2.0,enriched_v1.0,2025-07-09
SUSHIGROOVE PVJ,"PARIS VAN JAVA, JL. SUKAJADI NO.131-139, CIPEDES,
  KEC. SUKAJADI, KOTA BANDUNG, JAWA BARAT 40162",sukajadi,4.1,Rp 50.000 - 100.000,103066.0,5.28,19520.08,3.04841784216546,33.0,29.0,High (4.0-4.5),Japanese Food,580,5,2.0,enriched_v1.0,2025-07-09
SWARGA LOKA RESTAURANT,"ARYADUTA BANDUNG, JL. SUMATERA NO.51, CITARUM, KEC.
  BANDUNG WETAN, KOTA BANDUNG, JAWA BARAT 40115",bandung wetan,4.6,Rp 50.000 - 100.000,28848.0,3.44,8386.05,4.0,14.0,117.0,Very High (4.5-5.0),Restaurant,252,8,2.0,enriched_v1.0,2025-07-09
SWIKE WALED RUMAH MAKAN,"JL. CIHAMPELAS NO.61, TAMANSARI, KEC. BANDUNG
  WETAN, KOTA BANDUNG, JAWA BARAT 40116",bandung wetan,4.5,Rp 50.000 - 100.000,28848.0,3.44,8386.05,4.0,14.0,117.0,High (4.0-4.5),Local Food,52,7,2.0,enriched_v1.0,2025-07-09
TANGGO PORK RESTO,"JL. TAMAN CIBUNUT UTARA NO.14, KB. PISANG, KEC.
  SUMUR BANDUNG, KOTA BANDUNG, JAWA BARAT 40112",sumur bandung,4.4,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,82,8,2.0,enriched_v1.0,2025-07-09
TARUMA CAFE,"ARYADUTA BANDUNG, JL. SUMATERA NO.51, CITARUM,
  BANDUNG WETAN, BANDUNG CITY, WEST JAVA 40115",bandung wetan,3.9,Rp 50.000 - 100.000,28848.0,3.44,8386.05,4.0,14.0,117.0,Medium (3.5-4.0),Cafe,351,1,2.0,enriched_v1.0,2025-07-09
TEN 10 RAMEN CIWALK,"CIHAMPELAS WALK, CIPAGANTI, KECAMATAN COBLONG, KOTA
  BANDUNG, JAWA BARAT 40131",coblong,4.4,Rp 50.000 - 100.000,115273.0,7.31,15769.22,3.04841784216546,62.0,37.0,High (4.0-4.5),Japanese Food,429,5,2.0,enriched_v1.0,2025-07-09
THE DUCK KING PVJ,"PARIS VAN JAVA LT. GF UNIT C18 NO. 137, JL.
  SUKAJADI NO.131-139, CIPEDES, KEC. SUKAJADI, KOTA BANDUNG, JAWA BARAT 40162",sukajadi,4.3,Rp 100.000 - 200.000,103066.0,5.28,19520.08,3.04841784216546,33.0,29.0,High (4.0-4.5),Restaurant,361,8,2.0,enriched_v1.0,2025-07-09
THE ISLAND SUKAJADI,"JL. SUKAJADI NO.5, SUKABUNGAH, KEC. SUKAJADI, KOTA
  BANDUNG, JAWA BARAT 40162",sukajadi,4.5,Rp 50.000 - 100.000,103066.0,5.28,19520.08,3.04841784216546,33.0,29.0,High (4.0-4.5),Restaurant,237,8,2.0,enriched_v1.0,2025-07-09
